time_series_timestamp,time_series_type,time_series_data,time_series_adjusted_data,standard_error,confidence_level,prediction_interval_lower_bound,prediction_interval_upper_bound,trend,seasonal_period_yearly,seasonal_period_quarterly,seasonal_period_monthly,seasonal_period_weekly,seasonal_period_daily,holiday_effect,spikes_and_dips,step_changes,residual
2012-01-01 00:00:00.000000 UTC,history,22.0,22.0,6.9693048085843836,,,,0.0,-14.279037750685154,,,,,,,,36.279037750685156
2012-02-01 00:00:00.000000 UTC,history,35.0,31.808940417034258,6.9693048085843836,,,,36.730470467906166,-4.9215300508719082,,,,,,,,3.1910595829657424
2012-03-01 00:00:00.000000 UTC,history,34.0,44.475808635256008,6.9693048085843836,,,,38.767556843899634,5.7082517913563722,,,,,,,,-10.475808635256008
2012-04-01 00:00:00.000000 UTC,history,35.0,43.7019795788233,6.9693048085843836,,,,35.334641789341255,8.36733778948204,,,,,,,,-8.7019795788232983
2012-05-01 00:00:00.000000 UTC,history,51.0,42.94272937776914,6.9693048085843836,,,,31.138152015518109,11.804577362251035,,,,,,,,8.05727062223086
2012-06-01 00:00:00.000000 UTC,history,49.0,53.910397371307276,6.9693048085843836,,,,34.930036279825273,18.980361091482003,,,,,,,,-4.9103973713072762
2012-07-01 00:00:00.000000 UTC,history,53.0,48.143285849488727,6.9693048085843836,,,,35.457903711415383,12.685382138073342,,,,,,,,4.856714150511273
2012-08-01 00:00:00.000000 UTC,history,47.0,38.872741060777344,6.9693048085843836,,,,36.403829719587506,2.4689113411898367,,,,,,,,8.1272589392226564
2012-09-01 00:00:00.000000 UTC,history,25.0,30.123162347279553,6.9693048085843836,,,,40.80677024926311,-10.683607901983557,,,,,,,,-5.1231623472795533
2012-10-01 00:00:00.000000 UTC,history,26.0,27.771060066891273,6.9693048085843836,,,,39.569967493503434,-11.798907426612159,,,,,,,,-1.7710600668912733
